GeneId	GeneName
NCU04241.7	TBC1 domain family member 22A
NCU01102.7	oxa-1
NCU00435.7	SNF7 family protein
NCU05532.7	conserved hypothetical protein
NCU02755.7	PAP2 domain-containing protein
NCU07995.7	conserved hypothetical protein
NCU10144.7	SAM-dependent methyltransferase
NCU02798.7	conserved hypothetical protein
NCU05634.7	conserved hypothetical protein
NCU07289.7	transcription initiation factor IIB
NCU02165.7	conserved hypothetical protein
NCU01658.7	WD repeat protein
NCU04095.7	SH3 domain-containing protein
NCU03379.7	conserved hypothetical protein
NCU05987.7	conserved hypothetical protein
NCU09957.7	conserved hypothetical protein
NCU02334.7	conserved hypothetical protein
NCU02668.7	cell wall synthesis protein-Penicillium chrysogenum
NCU17271.7	mrp-30
NCU06426.7	conserved hypothetical protein
NCU06508.7	gpip-3
NCU08700.7	conserved hypothetical protein
NCU06047.7	crp-9
NCU02205.7	conserved hypothetical protein
NCU08146.7	conserved hypothetical protein
NCU04410.7	tRNA ligase
NCU03198.7	conserved hypothetical protein
NCU10775.7	nox-2
NCU00188.7	ATG1 protein
NCU08744.7	conserved hypothetical protein
NCU12120.7	hypothetical protein
NCU05047.7	predicted protein
NCU16526.7	conserved hypothetical protein
NCU09376.7	conserved hypothetical protein
NCU16677.7	hypothetical protein
NCU08069.7	conserved hypothetical protein
NCU05035.7	conserved hypothetical protein
NCU03821.7	hypothetical protein
NCU00257.7	dynactin Arp1 p62 subunit RO2
NCU10839.7	conserved hypothetical protein
NCU08936.7	ccg-15
NCU04469.7	conserved hypothetical protein
NCU05187.7	predicted protein
NCU07180.7	conserved hypothetical protein
NCU09221.7	HIT finger domain-containing protein
NCU09436.7	asf-1
NCU08279.7	conserved hypothetical protein
NCU00609.7	och-1
NCU02940.7	conserved hypothetical protein
NCU03585.7	conserved hypothetical protein
NCU08505.7	DUF866 domain-containing protein
NCU07367.7	rpt-4
NCU04394.7	conserved hypothetical protein
NCU16386.7	predicted protein
NCU03375.7	conserved hypothetical protein
NCU03527.7	conserved hypothetical protein
NCU11059.7	conserved hypothetical protein
NCU16765.7	predicted protein
NCU06690.7	conserved hypothetical protein
NCU08301.7	pp4
NCU04444.7	conserved hypothetical protein
NCU08748.7	conserved hypothetical protein
NCU10448.7	conserved hypothetical protein
NCU07813.7	conserved hypothetical protein
NCU06265.7	conserved hypothetical protein
NCU00470.7	DNA repair protein Rad9
NCU08557.7	conserved hypothetical protein
NCU01642.7	conserved hypothetical protein
NCU01122.7	conserved hypothetical protein
NCU01187.7	cpc-3
NCU02775.7	conserved hypothetical protein
NCU17258.7	hypothetical protein
NCU01009.7	conserved hypothetical protein
NCU09017.7	conserved hypothetical protein
NCU02524.7	rho GAP domain-containing protein
NCU10004.7	conserved hypothetical protein
NCU05559.7	conserved hypothetical protein
NCU01938.7	conserved hypothetical protein
NCU07145.7	conserved hypothetical protein
NCU16904.7	predicted protein
NCU03763.7	pold-2
NCU08846.7	conserved hypothetical protein
NCU03643.7	cutinase transcription factor 1 beta
NCU07229.7	conserved hypothetical protein
NCU02978.7	cytoskeleton assembly control protein SLA1p
NCU07047.7	conserved hypothetical protein
NCU09034.7	mandelate racemase/muconate lactonizing enzyme family protein
NCU08185.7	conserved hypothetical protein
NCU05791.7	SOM1 protein
NCU07978.7	conserved hypothetical protein
NCU07343.7	major facilitator family transporter
NCU03204.7	iron-sulfur cluster assembly associated protein Nar1
NCU03174.7	conserved hypothetical protein
NCU04926.7	conserved hypothetical protein
NCU09781.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU09538.7	microsomal dipeptidase
NCU07946.7	conserved hypothetical protein
NCU09584.7	conserved hypothetical protein
NCU02837.7	pre-mRNA branch site protein p14
NCU12144.7	conserved hypothetical protein
NCU02730.7	conserved hypothetical protein
NCU02908.7	conserved hypothetical protein
NCU11409.7	ATP-dependent RNA helicase chl-1
NCU05707.7	conserved hypothetical protein
NCU00352.7	phospholipid-transporting ATPase
NCU11212.7	GNAT family N-acetyltransferase
NCU00420.7	conserved hypothetical protein
NCU07350.7	conserved hypothetical protein
NCU16377.7	oligoribonuclease
NCU04009.7	exosome complex exonuclease Rrp4
NCU01389.7	mitogen-activated protein kinase organizer 1
NCU02027.7	acyl-protein thioesterase 1
NCU01379.7	histone acetylase complex subunit Paf400
NCU07587.7	Swi6
NCU06674.7	conserved hypothetical protein
NCU09004.7	eif6
NCU08046.7	eif3g
NCU16555.7	hypothetical protein
NCU06797.7	conserved hypothetical protein
NCU09261.7	DNA replication complex GINS protein SLD5
NCU07318.7	mannitol-1-phosphate 5-dehydrogenase
NCU02868.7	conserved hypothetical protein
NCU05829.7	conserved hypothetical protein
NCU09035.7	alcohol dehydrogenase
NCU10547.7	conserved hypothetical protein
NCU09368.7	cation diffusion facilitator 10
NCU00957.7	acw-2
NCU17101.7	predicted protein
NCU05903.7	conserved hypothetical protein
NCU00308.7	NOL1/NOP2/Sun domain family
NCU01547.7	rpn-8
NCU00231.7	conserved hypothetical protein
NCU06486.7	conserved hypothetical protein
NCU03210.7	conserved hypothetical protein
NCU07152.7	conserved hypothetical protein
NCU02671.7	cutinase G-box binding protein
NCU02545.7	conserved hypothetical protein
NCU00253.7	conserved hypothetical protein
NCU04236.7	glycerophosphoryl diester phosphodiesterase
NCU05850.7	rubredoxin-NAD(+) reductase
NCU09972.7	conserved hypothetical protein
NCU00489.7	crp-10
NCU03114.7	SSU72
NCU06382.7	abc transporter
NCU16664.7	conserved hypothetical protein
NCU01063.7	conserved hypothetical protein
NCU07371.7	conserved hypothetical protein
NCU06085.7	LCCL domain-containing protein
NCU16400.7	conserved hypothetical protein
NCU00303.7	smr domain-containing protein
NCU06470.7	conserved hypothetical protein
NCU01735.7	conserved hypothetical protein
NCU09948.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU04901.7	conserved hypothetical protein
NCU03669.7	AdoMet-dependent rRNA methyltransferase spb1
NCU05061.7	conserved hypothetical protein
NCU05584.7	conserved hypothetical protein
NCU06760.7	pyruvate dehydrogenase kinase
NCU02317.7	conserved hypothetical protein
NCU08420.7	conserved hypothetical protein
NCU05544.7	dolichyl-phosphate mannosyltransferase polypeptide 3
NCU07749.7	conserved hypothetical protein
NCU15835.7	conserved hypothetical protein
NCU07316.7	conserved hypothetical protein
NCU07105.7	conserved hypothetical protein
NCU03577.7	conserved hypothetical protein
NCU03769.7	naf-2
NCU05227.7	20S proteasome maturation protein Ump1
NCU05863.7	conserved hypothetical protein
NCU09569.7	conserved hypothetical protein
NCU07505.7	conserved hypothetical protein
NCU00124.7	conserved hypothetical protein
NCU04430.7	leupeptin-inactivating enzyme 1
NCU07071.7	cell differentiation protein rcd1
NCU03467.7	conserved hypothetical protein
NCU10069.7	hypothetical protein
NCU02635.7	mannan polymerase complexes MNN9 subunit
NCU08323.7	bystin
NCU03844.7	predicted protein
NCU08260.7	conserved hypothetical protein
NCU05262.7	conserved hypothetical protein
NCU07764.7	conserved hypothetical protein
NCU02276.7	bdp-2
NCU17104.7	nitrilase
NCU16891.7	predicted protein
NCU01946.7	hypothetical protein
NCU04784.7	conserved hypothetical protein
NCU07466.7	cystathionine beta-synthase
NCU00747.7	conserved hypothetical protein
NCU09827.7	conserved hypothetical protein
NCU02046.7	conserved hypothetical protein
NCU01088.7	conserved hypothetical protein
NCU04701.7	conserved hypothetical protein
NCU08862.7	conserved hypothetical protein
NCU09104.7	conserved hypothetical protein
NCU05172.7	conserved hypothetical protein
NCU01493.7	conserved hypothetical protein
NCU09846.7	conserved hypothetical protein
NCU07157.7	conserved hypothetical protein
NCU07146.7	conserved hypothetical protein
NCU08824.7	molybdopterin binding domain-containing protein
NCU06718.7	zinc knuckle domain-containing protein
NCU00337.7	nuclear export protein Noc3
NCU08487.7	conserved hypothetical protein
NCU04359.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU08264.7	conserved hypothetical protein
NCU04645.7	DUF124 domain-containing protein
NCU08992.7	conserved hypothetical protein
NCU04549.7	conserved hypothetical protein
NCU06247.7	conserved hypothetical protein
NCU02049.7	conserved hypothetical protein
NCU11319.7	conserved hypothetical protein
NCU08680.7	conserved hypothetical protein
NCU00871.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU10519.7	G-patch domain-containing protein
NCU00042.7	selenoprotein domain-containing protein
NCU02105.7	tRNA(His) guanylyltransferase
NCU10951.7	conserved hypothetical protein
NCU02800.7	arsenite resistance protein Ars2
NCU08065.7	conserved hypothetical protein
NCU09216.7	oligosaccharyl transferase epsilon subunit
NCU02485.7	conserved hypothetical protein
NCU06490.7	conserved hypothetical protein
NCU05105.7	glucan endo-1,3-beta-glucosidase
NCU03558.7	conserved hypothetical protein
NCU09173.7	conserved hypothetical protein
NCU01893.7	conserved hypothetical protein
NCU00387.7	3-oxo-5-alpha-steroid 4-dehydrogenase
NCU08670.7	conserved hypothetical protein
NCU01875.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU04703.7	conserved hypothetical protein
NCU06869.7	cleavage and polyadenylylation specificity factor
NCU07641.7	conserved hypothetical protein
NCU03245.7	conserved hypothetical protein
NCU05575.7	conserved hypothetical protein
NCU05553.7	conserved hypothetical protein
NCU09999.7	conserved hypothetical protein
NCU04817.7	electron transfer protein 1
NCU01766.7	conserved hypothetical protein
NCU03354.7	conserved hypothetical protein
NCU16775.7	conserved hypothetical protein
NCU05351.7	conserved hypothetical protein
NCU02235.7	gh47-6
NCU07817.7	ncw-3
NCU07592.7	conserved hypothetical protein
NCU10806.7	conserved hypothetical protein
NCU06064.7	conserved hypothetical protein
NCU00515.7	conserved hypothetical protein
NCU00981.7	ribosome biogenesis protein nsa-2
NCU08708.7	conserved hypothetical protein
NCU08737.7	conserved hypothetical protein
NCU09409.7	arylesterase/monoxygenase
NCU06505.7	glucanase B
NCU16651.7	dihydrofolate reductase
NCU16681.7	conserved hypothetical protein
NCU08431.7	conserved hypothetical protein
NCU11043.7	conserved hypothetical protein
NCU00483.7	conserved hypothetical protein
NCU08034.7	small nuclear ribonucleoprotein U
NCU06905.7	tetrahydroxynaphthalene reductase
NCU08371.7	conserved hypothetical protein
NCU04386.7	conserved hypothetical protein
NCU01179.7	tom40
NCU00395.7	mRNA processing protein
NCU00605.7	ThiF domain-containing protein
NCU02385.7	conserved hypothetical protein
NCU16460.7	hypothetical protein
NCU02107.7	AMP-binding enzyme
NCU00734.7	cpr-4
NCU03071.7	os-4
NCU08071.7	cyt-21
NCU06084.7	conserved hypothetical protein
NCU07935.7	caffeine-induced death protein Cid2
NCU06585.7	Rad4 family protein
NCU04225.7	mrp-29
NCU16361.7	hypothetical protein
NCU08268.7	TOR signaling pathway regulator
NCU05036.7	conserved hypothetical protein
NCU08901.7	conserved hypothetical protein
NCU01882.7	purine transporter
NCU01248.7	conserved hypothetical protein
NCU05927.7	GTP-binding protein GUF1
NCU05058.7	conserved hypothetical protein
NCU00537.7	conserved hypothetical protein
NCU04338.7	hH4v
NCU05242.7	C2H2 finger domain-containing protein
NCU02970.7	conserved hypothetical protein
NCU04165.7	low-temperature viability protein ltv1
NCU00918.7	conserved hypothetical protein
NCU04103.7	questionable protein
NCU06277.7	microtubule associated protein
NCU07212.7	conserved hypothetical protein
NCU09875.7	capsule polysaccharide synthase Cps1
NCU02920.7	short-chain dehydrogenase/reductase SDR
NCU00856.7	conserved hypothetical protein
NCU16367.7	hypothetical protein
NCU04884.7	alpha/beta hydrolase fold protein
NCU06252.7	conserved hypothetical protein
NCU09015.7	conserved hypothetical protein
NCU09671.7	conserved hypothetical protein
NCU03449.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU09159.7	conserved hypothetical protein
NCU03988.7	crp-50
NCU07419.7	F-box domain-containing protein
NCU07084.7	conserved hypothetical protein
NCU05767.7	PRO1A C6 Zink-finger protein
NCU01440.7	myosin-2
NCU01758.7	YdiU domain-containing protein
NCU01068.7	BAR domain-containing protein
NCU07031.7	conserved hypothetical protein
NCU07938.7	MFS transporter
NCU00715.7	betaine aldehyde dehydrogenase
NCU02014.7	conserved hypothetical protein
NCU10936.7	conserved hypothetical protein
NCU02631.7	DNA replication complex GINS protein psf-1
NCU06515.7	conserved hypothetical protein
NCU00973.7	conserved hypothetical protein
NCU07298.7	CAIB/BAIF family enzyme
NCU10055.7	nop-1
NCU03624.7	conserved hypothetical protein
NCU00620.7	conserved hypothetical protein
NCU09964.7	conserved hypothetical protein
NCU03835.7	conserved hypothetical protein
NCU09025.7	glutamyl-tRNA(Gln) amidotransferase
NCU09776.7	conserved hypothetical protein
NCU09238.7	conserved hypothetical protein
NCU04317.7	DUF431 domain-containing protein
NCU02248.7	conserved hypothetical protein
NCU01304.7	mitochondrial mRNA processing protein PET127
NCU03990.7	predicted protein
NCU03464.7	transcription factor TFIID complex subunit Taf13
NCU01598.7	methyltransferase
NCU02556.7	hat-2
NCU00818.7	conserved hypothetical protein
NCU06596.7	conserved hypothetical protein
NCU03620.7	conserved hypothetical protein
NCU01451.7	conserved hypothetical protein
NCU02270.7	conserved hypothetical protein
NCU07445.7	conserved hypothetical protein
NCU07412.7	PHD finger and BAH domain-containing protein
NCU00129.7	AMP-binding domain-containing protein
NCU08853.7	conserved hypothetical protein
NCU06276.7	conserved hypothetical protein
NCU07854.7	cytosolic regulator Pianissimo
NCU06570.7	conserved hypothetical protein
NCU08255.7	conserved hypothetical protein
NCU03765.7	3'-5' exonuclease/helicase
NCU08073.7	conserved hypothetical protein
NCU05024.7	conserved hypothetical protein
NCU00950.7	tRNA dihydrouridine synthase
NCU00831.7	extracellular serine carboxypeptidase
NCU02367.7	conserved hypothetical protein
NCU06779.7	alg-11
NCU05621.7	conserved hypothetical protein
NCU00332.7	conserved hypothetical protein
NCU04039.7	GNAT family N-acetyltransferase
NCU16372.7	conserved hypothetical protein
NCU16382.7	oligoribonuclease
NCU03859.7	MYG1 protein
NCU08246.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU00021.7	conserved hypothetical protein
NCU08884.7	conserved hypothetical protein
NCU03363.7	frh
NCU06331.7	conserved hypothetical protein
NCU03168.7	apr-5
NCU11211.7	conserved hypothetical protein
NCU17019.7	conserved hypothetical protein
NCU04461.7	transmembrane domain-containing protein
NCU01108.7	conserved hypothetical protein
NCU05084.7	conserved hypothetical protein
NCU06975.7	conserved hypothetical protein
NCU07486.7	LysM domain-containing protein
NCU08525.7	conserved hypothetical protein
NCU05039.7	conserved hypothetical protein
NCU03949.7	npd-1
NCU03380.7	ATP-dependent rRNA helicase spb-4
NCU01713.7	tubulin-folding cofactor B
NCU01625.7	DNA repair helicase RAD3
NCU08038.7	CAS1
NCU06205.7	rco-1
NCU07314.7	CinY protein
NCU06548.7	conserved hypothetical protein
NCU17138.7	DDHD domain-containing protein
NCU09654.7	MFS transporter
NCU02650.7	rpn-5
NCU02362.7	conserved hypothetical protein
NCU06235.7	conserved hypothetical protein
NCU03412.7	conserved hypothetical protein
NCU09591.7	conserved hypothetical protein
NCU05525.7	DUF833 domain-containing protein
NCU07525.7	conserved hypothetical protein
NCU06076.7	conserved hypothetical protein
NCU07540.7	conserved hypothetical protein
NCU10427.7	conserved hypothetical protein
NCU10605.7	conserved hypothetical protein
NCU02203.7	C2H2 finger domain-containing protein
NCU08437.7	conserved hypothetical protein
NCU07623.7	2,2-dialkylglycine decarboxylase
NCU08534.7	conserved hypothetical protein
NCU04035.7	hir-1
NCU05178.7	conserved hypothetical protein
NCU03294.7	conserved hypothetical protein
NCU00656.7	phosphoinositide 3-kinase
NCU17181.7	predicted protein
NCU10470.7	conserved hypothetical protein
NCU08274.7	conserved hypothetical protein
NCU08022.7	poly(A) polymerase
NCU09587.7	conserved hypothetical protein
NCU05501.7	conserved hypothetical protein
NCU05798.7	conserved hypothetical protein
NCU06623.7	conserved hypothetical protein
NCU06777.7	syntaxin
NCU05186.7	conserved hypothetical protein
NCU08971.7	conserved hypothetical protein
NCU09191.7	conserved hypothetical protein
NCU11085.7	transporter particle complex subunit
NCU01086.7	benzoate 4-monooxygenase
NCU09001.7	CCR4-NOT transcription complex subunit 7
NCU03901.7	pex14
NCU00776.7	T
NCU02423.7	mitoferrin-1
NCU01356.7	conserved hypothetical protein
NCU00604.7	conserved hypothetical protein
NCU03961.7	WD repeat protein
NCU06794.7	conserved hypothetical protein
NCU01970.7	DUF718 domain-containing protein
NCU16823.7	conserved hypothetical protein
NCU06946.7	conserved hypothetical protein
NCU02939.7	predicted protein
NCU06725.7	conserved hypothetical protein
NCU04541.7	SNF7 family protein
NCU06177.7	calcium/calmodulin-dependent protein kinase
NCU10766.7	conserved hypothetical protein
NCU04096.7	serine/threonine-protein kinase 3
NCU04275.7	mus-11
NCU05279.7	conserved hypothetical protein
NIL	ND4
NCU16960.7	predicted protein
NCU00175.7	conserved hypothetical protein
NCU08988.7	conserved hypothetical protein
NCU09526.7	conserved hypothetical protein
NCU03273.7	NF-X1 finger transcription factor
NCU00282.7	conserved hypothetical protein
NCU01980.7	conserved hypothetical protein
NCU09262.7	conserved hypothetical protein
NCU06105.7	ADP-ribosylation factor-binding protein GGA1
NCU09263.7	conserved hypothetical protein
NCU00663.7	conserved hypothetical protein
NCU02052.7	transcription initiation factor TFIId 127kD subunit
NCU05015.7	conserved hypothetical protein
NCU01177.7	NAD dependent epimerase/dehydratase
NCU06843.7	crp-37
NCU02474.7	tom5
NCU09993.7	crf1-1
NCU04040.7	tRNA (uridine-2'-O-)-methyltransferase TRM7
NCU10430.7	SNF7 family protein
NCU04192.7	vacuolar aspartyl aminopeptidase Lap4
NCU06546.7	conserved hypothetical protein
NCU01311.7	conserved hypothetical protein
NCU09639.7	conserved hypothetical protein
NCU16729.7	predicted protein
NCU07991.7	DUF292 domain-containing protein
NCU00119.7	Sad1/UNC domain-containing protein
NCU02814.7	prd-4
NCU04918.7	conserved hypothetical protein
NCU05789.7	secreted glucosidase
NCU08124.7	3-ketosteroid-delta-1-dehydrogenase
NCU03073.7	conserved hypothetical protein
NCU00104.7	hsp98
NCU04304.7	mitochondrial inner membrane protease subunit 1
NCU11237.7	prenylated Rab acceptor 1
NCU06430.7	capsule-associated protein CAP1
NCU04455.7	conserved hypothetical protein
NCU03034.7	conserved hypothetical protein
NCU05045.7	MFS monocarboxylate transporter
NIL	conserved hypothetical protein
NCU10861.7	conserved hypothetical protein
NCU07109.7	conserved hypothetical protein
NCU06561.7	rdi-1
NCU16993.7	hypothetical protein
NCU05479.7	conserved hypothetical protein
NCU07859.7	gsl-9
NCU09541.7	conserved hypothetical protein
NCU07142.7	conserved hypothetical protein
NCU00704.7	conserved hypothetical protein
NCU02104.7	WD domain-containing protein
NCU09249.7	prefoldin subunit 2
NCU09410.7	conserved hypothetical protein
NCU05244.7	thioesterase
NCU00488.7	protein phosphatase PP2A regulatory subunit A
NCU05766.7	conserved hypothetical protein
NCU08097.7	exo-beta-1,3-glucanase
NCU08839.7	conserved hypothetical protein
NCU05949.7	conserved hypothetical protein
NCU05617.7	conserved hypothetical protein
NCU02301.7	conserved hypothetical protein
NCU00804.7	conserved hypothetical protein
NCU08541.7	conserved hypothetical protein
NCU08324.7	DNA-binding protein HGH1
NCU09267.7	copper radical oxidase
NCU08263.7	conserved hypothetical protein
NCU09819.7	cyclophilin-type peptidyl-prolyl cis-trans isomerase
NCU00989.7	conserved hypothetical protein
NCU07363.7	conserved hypothetical protein
NCU07957.7	conserved hypothetical protein
NCU06343.7	conserved hypothetical protein
NCU03393.7	rap-1
NCU08443.7	conserved hypothetical protein
NCU16567.7	conserved hypothetical protein
NCU09786.7	conserved hypothetical protein
NCU08127.7	gh76-3
NIL	conserved hypothetical protein
NCU06328.7	conserved hypothetical protein
NCU05780.7	gst-1
NCU00009.7	conserved hypothetical protein
NCU09832.7	conserved hypothetical protein
NCU08922.7	conserved hypothetical protein
NCU02984.7	translation machinery-associated protein 22
NCU05760.7	predicted protein
NCU04246.7	conserved hypothetical protein
NCU04348.7	ribosome biogenesis protein
NCU07824.7	MDM10
NCU09549.7	C6 zinc finger domain-containing protein
NCU09279.7	laccase
NCU03461.7	conserved hypothetical protein
NCU03096.7	bromodomain associated domain-containing protein
NCU00055.7	catechol 1,2-dioxygenase 1
NCU08809.7	bdp-1
NCU07874.7	nuclear and cytoplasmic polyadenylated RNA-binding protein pub1
NCU09551.7	MFS multidrug transporter
NCU00331.7	conserved hypothetical protein
NCU08883.7	conserved hypothetical protein
NCU05360.7	calcium permease
NCU02463.7	bax Inhibitor family protein
NCU11375.7	integral membrane protein
NCU00180.7	conserved hypothetical protein
NCU05812.7	conserved hypothetical protein
NCU00617.7	phosducin family protein
NCU03725.7	vib-1
NCU01048.7	conserved hypothetical protein
NCU00875.7	conserved hypothetical protein
NCU03094.7	mrp-40
NCU11300.7	RING finger domain-containing protein
NCU09132.7	tba-1
NCU04821.7	conserved hypothetical protein
NCU00030.7	mitochondrial nuclease
NCU06462.7	conserved hypothetical protein
NCU03149.7	tRNA-specific adenosine deaminase
NCU03567.7	conserved hypothetical protein
NCU02872.7	conserved hypothetical protein
NCU00940.7	conserved hypothetical protein
NCU01833.7	nik-2
NCU03054.7	conserved hypothetical protein
NCU03947.7	ubiquitin ligase
NCU04520.7	conserved hypothetical protein
NCU07369.7	conserved hypothetical protein
NCU06480.7	conserved hypothetical protein
NCU05920.7	conserved hypothetical protein
NCU03637.7	CaaX prenyl protease Ste24
NCU09152.7	conserved hypothetical protein
NCU08244.7	conserved hypothetical protein
NCU08051.7	conserved hypothetical protein
NCU02672.7	conserved hypothetical protein
NCU00268.7	conserved hypothetical protein
NCU05648.7	conserved hypothetical protein
NCU09876.7	conserved hypothetical protein
NCU10311.7	mrp-46
NCU06215.7	transferase
NCU01299.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU00654.7	conserved hypothetical protein
NCU03160.7	conserved hypothetical protein
NCU00137.7	ssDNA binding protein
NCU01792.7	hsp90a
NCU01189.7	conserved hypothetical protein
NCU08251.7	conserved hypothetical protein
NCU06117.7	conserved hypothetical protein
NCU07255.7	conserved hypothetical protein
NCU07549.7	mrp-52
NCU07019.7	csn-6
NCU07306.7	conserved hypothetical protein
NCU00877.7	conserved hypothetical protein
NCU10762.7	alg-7
NCU02519.7	conserved hypothetical protein
NCU03221.7	PX domain-containing protein
NCU09360.7	conserved hypothetical protein
NCU03197.7	serine/threonine-protein kinase psk1
NIL	conserved hypothetical protein
NCU08331.7	conserved hypothetical protein
NCU04487.7	conserved hypothetical protein
NCU05235.7	ribosome biogenesis protein RLP24
NCU06384.7	MFS sugar transporter
NCU04532.7	conserved hypothetical protein
NCU01435.7	serine/threonine-protein kinase bur-1
NCU01159.7	conserved hypothetical protein
NCU07494.7	conserved hypothetical protein
NCU04736.7	nca-2
NCU06173.7	conserved hypothetical protein
NCU02171.7	conserved hypothetical protein
NCU08634.7	conserved hypothetical protein
NCU06127.7	conserved hypothetical protein
NCU08624.7	conserved hypothetical protein
NCU01260.7	conserved hypothetical protein
NCU00473.7	conserved hypothetical protein
NCU07430.7	mad-1
NCU11248.7	oligosaccharyltransferase subunit ribophorin II
NCU07816.7	magnesium and cobalt transporter CorA
NCU05411.7	pathway-specific nitrogen regulator
NCU09124.7	conserved hypothetical protein
NCU00457.7	translation initiation factor 4B
NCU00493.7	coatomer subunit delta
NCU09066.7	conserved hypothetical protein
NCU05628.7	conserved hypothetical protein
NCU12130.7	conserved hypothetical protein
NCU00244.7	glycosyl transferase
NCU01053.7	conserved hypothetical protein
NCU03305.7	nca-1
NCU08507.7	zinc finger protein zpr1
NCU02122.7	HCO3
NCU12058.7	oxidoreductase
NCU08750.7	isoamyl alcohol oxidase
NCU04345.7	adaptin ear-binding coat-associated protein 2
NCU06896.7	conserved hypothetical protein
NCU16305.7	predicted protein
NCU00125.7	conserved hypothetical protein
NCU07625.7	conserved hypothetical protein
NCU01783.7	phosphatidylinositol N-acetylglucosaminyltransferase
NCU06262.7	chromosome condensation protein
NCU02690.7	mitochondrial integral membrane protein
NCU07390.7	predicted protein
NCU04160.7	conserved hypothetical protein
NCU06469.7	54S ribosomal protein L12
NCU02951.7	mrp-8
NCU00384.7	conserved hypothetical protein
NCU03843.7	conserved hypothetical protein
NCU07627.7	conserved hypothetical protein
NCU04962.7	conserved hypothetical protein
NCU01275.7	oxidoreductase
NCU06636.7	cell division control protein 14
NCU17058.7	FF domain-containing protein
NCU04847.7	cyclin
NCU09164.7	conserved hypothetical protein
NCU06389.7	flavodoxin and radical SAM domain-containing protein
NCU06270.7	mpp
NCU06513.7	conserved hypothetical protein
NCU08060.7	cytochrome b5
NCU01468.7	eif2B-delta
NCU04496.7	conserved hypothetical protein
NCU00453.7	sodium/hydrogen exchanger 3
NCU05391.7	conserved hypothetical protein
NCU03253.7	conserved hypothetical protein
NCU08243.7	conserved hypothetical protein
NCU07979.7	conserved hypothetical protein
NCU08997.7	repressible alkaline phosphatase
NCU04332.7	epoxide hydrolase
NCU09030.7	conserved hypothetical protein
NCU02691.7	conserved hypothetical protein
NCU09978.7	conserved hypothetical protein
NCU01382.7	conserved hypothetical protein
NCU02510.7	clathrin heavy chain
NCU09020.7	conserved hypothetical protein
NCU02162.7	SURF-family protein
NCU06583.7	conserved hypothetical protein
NCU10156.7	hypothetical protein
NCU00521.7	conserved hypothetical protein
NCU07530.7	transporter smf2
NCU07529.7	conserved hypothetical protein
NCU17115.7	predicted protein
NIL	conserved hypothetical protein
NCU01099.7	GTP-binding protein GTR1
NCU11260.7	conserved hypothetical protein
NCU06950.7	conserved hypothetical protein
NCU05452.7	splicing factor 3b
NCU09617.7	conserved hypothetical protein
NCU03340.7	cytochrome-c oxidase chain VIIc
NCU09598.7	mitochondrial escape protein 2
NCU01956.7	cytoskeleton assembly control protein Sla2
NCU01349.7	conserved hypothetical protein
NCU03302.7	crp-72
NCU04027.7	gh7-3
NCU02465.7	conserved hypothetical protein
NCU07424.7	conserved hypothetical protein
NCU01415.7	conserved hypothetical protein
NCU09384.7	msh5
NCU03892.7	conserved hypothetical protein
NCU17269.7	endo-beta-1,4-mannanase
NCU08790.7	conserved hypothetical protein
NCU03599.7	conserved hypothetical protein
NCU02297.7	conserved hypothetical protein
NCU07016.7	conserved hypothetical protein
NCU06061.7	oxidoreductase
NCU07280.7	serine/threonine-protein kinase gad8
NCU04100.7	vacuolar sorting protein 1
NCU09981.7	conserved hypothetical protein
NCU04402.7	dim-5
NCU09488.7	SDA1 domain-containing protein
NCU12045.7	conserved hypothetical protein
NCU06566.7	conserved hypothetical protein
NCU02983.7	conserved hypothetical protein
NCU00048.7	conserved hypothetical protein
NCU01069.7	hob3
NCU02060.7	zinc metallopeptidase
NCU03279.7	conserved hypothetical protein
NCU05228.7	conserved hypothetical protein
NCU07046.7	conserved hypothetical protein
NCU09870.7	conserved hypothetical protein
NCU07892.7	conserved hypothetical protein
NCU07120.7	DUF1264 domain-containing protein
NCU04844.7	conserved hypothetical protein
NCU17017.7	mitochondrial inner membrane protease subunit 1
NCU04174.7	conserved hypothetical protein
NCU04259.7	ubiquinone biosynthesis protein
NCU03161.7	conserved hypothetical protein
NCU01872.7	conserved hypothetical protein
NCU07511.7	conserved hypothetical protein
NCU06529.7	conserved hypothetical protein
NCU08166.7	conserved hypothetical protein
NCU00041.7	gng-1
NCU09585.7	conserved hypothetical protein
NCU06717.7	arsenical pump-driving ATPase
NCU02579.7	FAS1 domain-containing protein
NCU08066.7	amino acid transporter
NCU09858.7	acylamide-delta3(E)-desaturase
NCU09052.7	conserved hypothetical protein
NCU02338.7	secreted protein
NCU09062.7	conserved hypothetical protein
NCU04550.7	conserved hypothetical protein
NCU04024.7	conserved hypothetical protein
NCU07622.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU02724.7	HLH transcription factor
